date,RETAIL_4H_SUM,RETAIL_4G_SUM,RETAIL_4J_SUM,RETAIL_4I_SUM,RETAIL_4Z_SUM,RETAIL_4L_SUM,RETAIL_4A_SUM,SERVICES_6Z_SUM,SERVICES_6E_SUM,SERVICES_6F_SUM,SERVICES_6C_SUM,SERVICES_6D_SUM,SERVICES_6A_SUM,SERVICES_6B_SUM,TPLUSE_2B_SUM,TPLUSE_2D_SUM,TPLUSE_2A_SUM,TPLUSE_2C_SUM,TPLUSE_2E_SUM,TPLUSE_2Z_SUM,CASH_MI_SUM,CASH_8B_SUM,RETAIL_4K_SUM,RETAIL_4C_SUM,RETAIL_4B_SUM,RETAIL_4F_SUM,RETAIL_4E_SUM,RETAIL_4D_SUM
2016-01-01,150402616.9,4967623.67,13779643.01,10902653.27,25029619.52,6621740.72,5503464.04,50414460.24,46387705.76,426503.78,4990302.75,35655673.03,15511761.55,7122404.3,2948775.29,21156177.4,3109451.22,8222574.66,15323810.2,2163927.35,259767187.4,2975483.51,22825372.03,32338593.57,1918211.85,25048845.76,13519856.36,9687463.38
2016-01-03,89375399.33,5853428.6,9273845.99,4725361.43,13579426.83,5879087.75,2858903.17,27056070.41,5573491.54,136403.2,3842259.88,18805339.53,5641968.79,6755225.26,2104548.06,23712021.71,2962961.52,11093325.18,4555277.14,6245567.51,167660729.4,4323828.51,10654253.54,28122557.83,1421530.02,43003023.53,17419509.84,4965883.92
2016-01-04,68394811.19,6127880.98,10078111.26,13190514.73,19819385.14,4453240.26,2796729.98,92866697.83,40754685.19,631064.35,8313064.39,64032963.56,21107776.72,11552549.91,5240771.36,12500966.5,2988464.99,6628999.36,20978086.06,2276493.45,188079016.5,5770033.91,22202699.98,23941447.8,1162989.06,35295794.83,13918723.48,10585955.46
2016-01-05,78630504.71,4606247,10611989.97,15233246.98,21537475.84,4689081.96,3605609.89,81051013.78,19727081.59,765077.74,8344272.52,71448296.62,42943695.46,6405134.38,6184535.87,14713028.5,3359105.57,4669825.28,19872655.98,2278263.75,186462022,4802645.61,22394687.78,25243642.37,950588.89,31415751.6,14944758.58,10386949.28
2016-01-06,88965199.82,6723863.63,9730245.52,14399976.11,20200063.37,4703935.43,3807105.61,99535439.1,27911013.2,818821.62,7649788.89,36120253.51,19817060.82,6516120.41,3409617.31,14538992.39,3616691.59,4092219.69,18425326.67,2085904.13,201237538.2,5139310.22,20916995.21,24182393.73,1104663.67,33665846.59,14361106.63,10078355.13
2016-01-07,111766346.7,3806870.54,11522473.74,14246106.92,20551530.7,4721328.49,4976579.29,77479889.63,26874256.07,602534.01,6353396.9,58663669.74,20211920.98,6141768.44,3730004.96,16016461.08,3220977.84,4764388.43,17048630.73,2298235.63,203692084.1,3638445.08,20299252.88,23790004.93,1602069.07,30027358.32,14197383.23,9271298.01
2016-01-08,132101281,3616456.53,10959098.84,14257041,21435370.56,5332112.79,5272515.1,81127250.21,22859503.76,633679.19,5554108.75,31175270.51,73941309.84,6696445.77,3728657.27,18726596.96,3453690.55,6755253.07,19302760.57,2119199.17,227173201.4,4082702.65,23304062.32,24145510.07,1873584.84,31711478.59,14947180.59,9343021.11
2016-01-10,125132963.5,4636840.01,13025954.85,9452605.15,18857958.39,8178015.18,3002115.9,32422596.8,6367071.7,297088.07,3341439.31,63154910.31,9741059.6,7778237.9,1643052.25,30864104.7,3506009.17,9222492,5980108.12,2034567.5,223543627.2,5665968.93,16340193.94,33804086.55,1992291.25,44771349.8,21406294.31,6529668.9
2016-01-11,67988515.64,5213451.33,11910838.51,14948723.43,23585957.26,4721715.41,2963378.29,143845239.8,24849225.16,758047.04,10762384.09,91541624.59,19857789.46,7530232.63,6184024.3,14089035.77,4004020.37,5189861.63,20734743.6,2816656.72,210664358.4,7711898.69,28286679.81,24630943.37,739849.61,33824077.71,17809203.79,14718296.65
2016-01-12,77800997.64,4225591.58,11699450.05,15471798.89,27068186.3,4480119.47,3609561.86,117411464,25065792.75,1302384.8,8759133,64687199.6,23450146.43,7038906.06,3594653.86,14256652.5,3719681.86,3554183.17,21862490.67,2450190.56,205303692.2,5683494.92,21621200.83,24196726.88,850147.29,32596390.09,16353318.24,10161873.47
2016-01-13,93522335.77,3753582.31,13029766.86,14826943.44,22162651.29,4638454.52,3902014.2,115739396.7,26468446.3,836005.72,9585624.98,48516374.26,19755294.67,6322287.15,4810232.3,15412666.31,4186245.06,3287704.89,19820723.64,2028055.99,198808448.7,5504864.18,20389573.79,24659102.64,1170429.59,31434046.92,15652200.93,9860637.22
2016-01-14,117993153.1,4421199.95,13632566.8,20901372.19,25250174.33,5485903.77,4911209.04,172120414.5,31928593.06,5845733.49,10262602.79,55456481.71,23137765.97,6987479.91,3597410.57,17984041.12,3916414.67,4559600.87,22100216.34,3000641.53,252075653.2,5670827.72,37108495.14,26460865.68,1618408.81,33966678.9,16285824.64,16369381.06
2016-01-15,128901752,3772250.5,9761542.63,9810885.63,18926238.39,4491612.59,5547504.26,128618042.5,25595805.58,567044.77,8480295.59,14028939.73,16818643.92,5811802.09,2487101.13,17598173.35,3265351.37,7374122.42,18492343.71,1972485.62,194368909.9,4017402.71,17623731.12,22280468.35,1951890.12,28920296.53,12749123.09,8119069.27
2016-01-17,134069369.5,4851207.41,13147046.27,9087233.36,21683269.09,9208515.9,3816918.62,84485397.73,16038859.16,189607.43,3725687.12,44718564.3,9121228.72,7650655.71,2270804.9,35412379.06,3780751.64,10261015.06,7918904.86,2297388.69,246969346,7821910.44,17447072.95,38360302.23,2096289.09,51479707.3,22157625.64,6465726.35
2016-01-18,66275223.76,4665388.35,13061124.31,15132415.57,23765772.74,4757733.68,1256145.88,276349949,43050864.93,926268.05,18415256.65,113235958.6,24143004.29,7619475.84,7330550.76,13957005.41,4096633.22,5154261.52,23343508.68,2919854.53,205627335.3,6842811.93,23385784.25,23066262.77,735428.55,33147373.09,15503084.74,12165983.34
2016-01-19,85759299.84,4679406.77,12871729.18,20472195.05,28141929.95,4766840.34,5374012.81,216199959.4,40853121.56,1281303.2,9634118.13,108027748.7,26135128.37,7285731.8,4354860.02,15081483.98,5512793.42,3990258.1,22529163.49,2388910.3,234665900.4,5911520.82,27499661.98,22135520.58,912495.79,33405254.16,15086976.84,13259320.57
2016-01-20,83145158.31,3126583.37,8078811.29,8167682.4,14174308.59,3475860.3,4199417.13,160955943,30102678.9,351411.7,6602459.28,15979447.08,15035879.51,5406987.63,2668787.41,11344823.86,4547050.96,3217054.94,18290645.37,1842219.3,142413970.8,4404756.48,16330627.32,17626833.68,976337.73,25312502.23,11299692.1,6513800.17
2016-01-21,120068515.7,4881016.27,10439185.44,13953355.71,23748654.51,4659783.89,4929966.83,114716935.8,116157800.1,701378.79,13864371.08,54641915.95,19122501.63,6427696.34,3620230.1,14754918.98,3858901.82,5642532.6,20977906.54,2078970.56,235673550.5,5619157.64,20683609.4,23807764.28,1909934.89,31237514.08,14099569.34,9217329.08
2016-01-22,139324576.2,4259033.06,13307104.68,14337006.14,25628426.34,5499541.66,5915547.19,138825502,28336936.54,705475.26,8192189.14,40505813.56,18736074.58,6598582.3,3445464.48,19449630.51,4060777.97,6179838.76,20211864.72,24702803.55,247909509.6,4958782.66,24017197.44,25462593.52,1991026.46,31862829.35,15777668.07,11726752.89
2016-01-24,133806035.2,4485190.86,13466664.27,10841435.49,21545474.7,9146059.31,3838512.91,28973186.38,7618987.34,223924,3230775,46482733.96,10434714.22,7956939.05,1897149.49,32180633.07,3698641.34,10413316.56,6738744.19,2228979.31,238101757.9,6388453.49,18930376.4,36843521.63,1940931.91,49597062.91,22707012.88,6627618.21
2016-01-25,72404753.71,4166411.23,13510315.74,13182300.72,18527795.62,3861456,3236726.93,104072696,111414347.2,1184741.84,8521643.32,127640342.1,21538777.54,6325035.91,4431731.25,12149567.22,3927223.9,4806537.62,19580992.56,2139981.91,174592811.7,4814432.36,22274725.49,19000633.11,943529.32,30311652.35,13727672.56,11483419.78
2016-01-26,71472989.67,5343494.82,8953521.89,13534194.21,40566380.88,3861092.79,3758614.61,109809129,81825035.09,1007352.42,7475746.72,49221826.47,20968478.5,7314438.25,3269102.74,11710759.14,3298657.34,3508504.54,18888395.72,2035822.9,188605146.5,32068050.95,17557469.37,19853709.03,851614.78,28182793.68,13426807.18,9326720.51
